CREATE TABLE public.ponsel (
    Nama_Ponsel text,
    Harga integer,
    Kualitas_Kamera integer,
    Kapasitas_Baterai integer,
    Kinerja integer,
    Ukuran_Layar integer
);

INSERT INTO public.ponsel (Nama_Ponsel,Harga,Kualitas_Kamera,Kapasitas_Baterai,Kinerja,Ukuran_Layar) VALUES
('Xiaomi Redmi',5000000,8,4000,9,5.5),
('Samsung A53',4500000,7,3500,8,5.0),
('iPhone Xr',6000000,9,3000,9,6.0),
('iPhone X',5500000,8,3500,7,6.2),
('Oppo',4000000,7,3000,8,5.0),
('iPhone 12',7000000,9,4000,9,6.5),
('iPhone Xs',5500000,8,3000,7,6.0),
('iPhone 11 pro',6500000,9,3500,8,6.1),
('iPhone 11',6000000,8,4000,7,5.5),
('iPhone 8',5000000,7,3500,8,5.5);
